Altium Designer Pick and Place Locations
D:\ProjektiOtvoreni\FreshAir\hw\DE-250624\Project Outputs for DE-250624\Pick Place for DE-250624.csv

========================================================================================================================
File Design Information:

Date:       23/07/24
Time:       10:13
Revision:   0
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"S6","SENS_ON_OFF","TopLayer","SENSOR_PAD","2362.205","393.701","0",""
"R1","470R","TopLayer","ERA-0603","2320.000","2310.000","180","Metal Film Thermosensitive Chip Resistor, 0.56 Ohm to 10k Ohm Range, 5% Tolerance, 0603 Size, 0.063 W"
"D1","LED_ON_OFF","TopLayer","LED_sa_rupom","1969.504","393.201","360","Avago HSMW-C265"
"F1","0ZRG0120FF1E","TopLayer","PIN-W2/E2.8","360.000","1275.000","180","30 VDC 2 A Resettable Fuse - PPTC"
"","SENS_SPEED_4","TopLayer","SENSOR_PAD","1476.378","2559.055","0",""
"","SENS_SPEED_3","TopLayer","SENSOR_PAD","1476.378","2034.121","0",""
"","SENS_SPEED_2","TopLayer","SENSOR_PAD","1476.378","1509.186","0",""
"","SENS_SPEED_1","TopLayer","SENSOR_PAD","1476.378","984.252","0",""
"U5","AP63203","TopLayer","TSOT-26","311.181","2462.598","360","2A synchronous  buck converter"
"U4","AP63200","TopLayer","TSOT-26","258.819","1540.000","0","2A synchronous  buck converter"
"U3","24AA01T-I/LT","TopLayer","SC70-LT5_N","2445.000","1810.000","360","1Kbit, 400kHz, 2.5V, I2C Serial EEPROM, 5-Pin SC70, Industrial Temperature, Tape and Reel"
"U2","CAP1298","TopLayer","SOIC14","2180.000","1785.000","180","8 chanel capacitive sensor ic"
"U1","STM32F030F4P6","TopLayer","STM-TSSOP20_N","2535.000","2320.000","270","ARM Cortex-M0 32-bit MCU, 16 KB Flash, 4 KB Internal RAM, 15 I/Os, 20-pin TSSOP, -40 to 85 degC, Tube"
"R18","10K","TopLayer","ERA-0603","195.000","1770.000","180","Metal Film Thermosensitive Chip Resistor, 0.56 Ohm to 10k Ohm Range, 5% Tolerance, 0603 Size, 0.063 W"
"R17","1K2","TopLayer","ERA-0603","330.000","1830.000","180","Metal Film Thermosensitive Chip Resistor, 0.56 Ohm to 10k Ohm Range, 5% Tolerance, 0603 Size, 0.063 W"
"R16","22K","TopLayer","ERA-0603","195.000","1650.000","360","Metal Film Thermosensitive Chip Resistor, 0.56 Ohm to 10k Ohm Range, 5% Tolerance, 0603 Size, 0.063 W"
"R15","120K","TopLayer","ERA-0603","195.000","1710.000","180","Metal Film Thermosensitive Chip Resistor, 0.56 Ohm to 10k Ohm Range, 5% Tolerance, 0603 Size, 0.063 W"
"R14","22K","TopLayer","ERA-0603","405.000","1770.000","180","Metal Film Thermosensitive Chip Resistor, 0.56 Ohm to 10k Ohm Range, 5% Tolerance, 0603 Size, 0.063 W"
"R13","470R","TopLayer","ERA-0603","2365.000","2660.000","90","Metal Film Thermosensitive Chip Resistor, 0.56 Ohm to 10k Ohm Range, 5% Tolerance, 0603 Size, 0.063 W"
"R12","10K","TopLayer","ERA-0603","2240.000","2045.000","90","Metal Film Thermosensitive Chip Resistor, 0.56 Ohm to 10k Ohm Range, 5% Tolerance, 0603 Size, 0.063 W"
"R11","10K","TopLayer","ERA-0603","2180.000","2045.000","90","Metal Film Thermosensitive Chip Resistor, 0.56 Ohm to 10k Ohm Range, 5% Tolerance, 0603 Size, 0.063 W"
"R10","10K","TopLayer","ERA-0603","2120.000","2045.000","90","Metal Film Thermosensitive Chip Resistor, 0.56 Ohm to 10k Ohm Range, 5% Tolerance, 0603 Size, 0.063 W"
"R9","470R","TopLayer","ERA-0603","2425.000","2660.000","90","Metal Film Thermosensitive Chip Resistor, 0.56 Ohm to 10k Ohm Range, 5% Tolerance, 0603 Size, 0.063 W"
"R8","470R","TopLayer","ERA-0603","2485.000","2660.000","90","Metal Film Thermosensitive Chip Resistor, 0.56 Ohm to 10k Ohm Range, 5% Tolerance, 0603 Size, 0.063 W"
